route,control_id,label,classification,source_file,expected_effect,endpoint,mutation_persistence,safety_constraint,test_status,screenshot
(shared),canonical-capital-safety,canonical-capital-safety,SAFE_READ,components/AuthoritativeRecommendations.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),canonical-combined-warning,canonical-combined-warning,SAFE_READ,components/AuthoritativeRecommendations.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),canonical-manual-only,canonical-manual-only,SAFE_READ,components/AuthoritativeRecommendations.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),canonical-freshness,canonical-freshness,SAFE_READ,components/AuthoritativeRecommendations.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),canonical-provider-health,canonical-provider-health,SAFE_READ,components/AuthoritativeRecommendations.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),canonical-primary,canonical-primary,SAFE_READ,components/AuthoritativeRecommendations.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),canonical-error,canonical-error,SAFE_READ,components/AuthoritativeRecommendations.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),canonical-unavailable,canonical-unavailable,SAFE_READ,components/AuthoritativeRecommendations.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),canonical-actionable,canonical-actionable,SAFE_READ,components/AuthoritativeRecommendations.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),canonical-stay-in-cash,canonical-stay-in-cash,SAFE_READ,components/AuthoritativeRecommendations.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),canonical-stay-in-cash-reason,canonical-stay-in-cash-reason,SAFE_READ,components/AuthoritativeRecommendations.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),canonical-watch,canonical-watch,SAFE_READ,components/AuthoritativeRecommendations.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),canonical-blocked,canonical-blocked,SAFE_READ,components/AuthoritativeRecommendations.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),canonical-rec-${item.symbol},canonical-rec-${item.symbol},SAFE_READ,components/AuthoritativeRecommendations.tsx,dynamic row/control,,component-defined,manual_only; no broker write,unit_or_pending,
(shared),canonical-capital-${item.symbol},canonical-capital-${item.symbol},SAFE_READ,components/AuthoritativeRecommendations.tsx,dynamic row/control,,component-defined,manual_only; no broker write,unit_or_pending,
(shared),eval-status-indicator,eval-status-indicator,SAFE_READ,components/EvalStatusIndicator.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),explanation-panel,explanation-panel,SAFE_READ,components/ExplanationPanel.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),explanation-primary,explanation-primary,SAFE_READ,components/ExplanationPanel.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),explanation-supporting,explanation-supporting,SAFE_READ,components/ExplanationPanel.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),explanation-measured,explanation-measured,SAFE_READ,components/ExplanationPanel.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),explanation-near-miss,explanation-near-miss,SAFE_READ,components/ExplanationPanel.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),explanation-safety-critical,explanation-safety-critical,SAFE_READ,components/ExplanationPanel.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),explanation-freshness,explanation-freshness,SAFE_READ,components/ExplanationPanel.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
